animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A200922,Carlos,2013-10-03 15:47:00,Austin (TX),Owner Surrender,Normal,Neutered Male,16 years,Dachshund Mix,Black,Tan,1,49.0
A210457,Caleb,2016-09-28 12:05:00,4424 S Mopac #412 in Austin (TX),Public Assist,Aged,Neutered Male,17 years,Chihuahua Shorthair,Tan,Black,1,9.0
A226069,Cedar,2015-10-06 12:29:00,Wheless Ln And Berkman Dr in Austin (TX),Stray,Normal,Neutered Male,15 years,Labrador Retriever Mix,Tricolor,White,1,23.0
A249087,*Polly,2016-08-17 14:05:00,E 6Th St And Pedernales in Austin (TX),Stray,Normal,Spayed Female,15 years,German Shepherd Mix,Black,Brown,1,89.0
A274546,Sophie,2013-11-13 18:16:00,Manchaca And Slaughter in Austin (TX),Stray,Normal,Spayed Female,11 years,Pointer Mix,Tricolor,,1,2.0
A281542,George,2013-12-23 13:23:00,Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,Brown,1,146.0
A302820,*Ladybug,2014-02-27 14:17:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,German Shepherd Mix,Brown,,1,147.0
A338231,Boots,2015-05-18 14:14:00,Bullard/Northland in Austin (TX),Stray,Normal,Neutered Male,13 years,Border Collie Mix,Black,White,1,27.0
A338643,Herbie,2016-12-16 09:50:00,Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,White,1,90.0
A338821,Ginger,2015-02-19 17:19:00,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,German Shepherd Mix,Brown,Black,1,26.0
A339803,Buzz,2013-11-08 15:15:00,Travis (TX),Owner Surrender,Normal,Neutered Male,9 years,Labrador Retriever Mix,Tan,,1,58.0
A342659,Flynt,2017-08-04 12:29:00,Austin (TX),Owner Surrender,Normal,Neutered Male,13 years,Catahoula Mix,Black,Brown,1,38.0
A346010,Mattie,2016-08-11 17:48:00,200 W Carrie Manor in Manor (TX),Public Assist,Normal,Spayed Female,9 years,Chihuahua Shorthair Mix,Black,White,1,6.0
A348272,Brandy,2015-07-19 10:21:00,38Th in Austin (TX),Stray,Normal,Spayed Female,11 years,Labrador Retriever Mix,Brown,Black,1,5.0
A349317,Astro,2017-08-15 11:01:00,Austin (TX),Owner Surrender,Normal,Neutered Male,13 years,Labrador Retriever Mix,Black,,1,2.0
A355688,Shadow,2014-01-26 13:48:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Australian Shepherd Mix,Blue,,1,28.0
A355753,Elijah,2015-09-10 13:14:00,Austin (TX),Owner Surrender,Normal,Neutered Male,11 years,Beagle Mix,Tricolor,,1,9.0
A362707,Girly Girl,2016-01-27 12:27:00,7207 A Tumble Weed Dr in Austin (TX),Owner Surrender,Sick,Spayed Female,11 years,Labrador Retriever Mix,Black,,1,348.0
A367438,Cookie,2015-09-10 16:01:00,Austin (TX),Owner Surrender,Normal,Spayed Female,16 years,Chihuahua Shorthair Mix,Brown,White,1,1.0
A367747,Woody,2014-10-19 14:49:00,5705 Thunderbird in Lago Vista (TX),Stray,Normal,Neutered Male,10 years,German Shepherd Mix,Black,Tan,1,15.0
A373687,Rosie,2014-03-20 12:31:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Labrador Retriever Mix,Red,Black,1,19.0
A378348,Frijolito,2013-12-12 11:07:00,Austin (TX),Owner Surrender,Normal,Intact Male,9 years,German Shepherd Mix,Black,Brown,2,62.5
A378946,Mercedes,2017-09-28 13:36:00,Austin (TX),Owner Surrender,Normal,Spayed Female,15 years,Labrador Retriever Mix,Black,,1,16.0
A380420,Laika,2017-08-04 16:45:00,Austin (TX),Stray,Normal,Spayed Female,12 years,Labrador Retriever Mix,Black,White,1,201.0
A390222,Holly,2013-12-04 18:24:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Jack Russell Terrier,White,Tan,2,5.0
A396810,Raven,2016-08-22 16:13:00,5801 Ainez Dr in Austin (TX),Stray,Injured,Spayed Female,13 years,Field Spaniel Mix,Black,,1,122.0
A400498,Reggie,2016-10-04 20:31:00,Austin (TX),Public Assist,Normal,Neutered Male,13 years,Chihuahua Shorthair Mix,White,Brown,1,10.0
A400680,Lucy,2017-06-17 13:29:00,Austin (TX),Owner Surrender,Normal,Spayed Female,12 years,Australian Cattle Dog Mix,White,Brown,1,107.0
A412626,*Sam,2016-03-13 11:17:00,8520 New Hampshire Blvd in Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,White,1,15.0
A414620,Shepherd,2017-10-22 13:30:00,Pflugerville (TX),Owner Surrender,Normal,Neutered Male,13 years,Border Collie Mix,White,Gray,1,6.0
A417737,Trixie,2018-03-04 15:53:00,6910 Drexel Drive in Austin (TX),Stray,Normal,Spayed Female,13 years,Chihuahua Longhair Mix,Tan,White,1,349.0
A428783,Bella,2014-01-31 16:25:00,11615 Pearwood Pl in Austin (TX),Public Assist,Normal,Spayed Female,8 years,Australian Cattle Dog,Blue,Brown,1,13.0
A430368,Arenal,2014-01-21 09:22:00,2319 E Stassney in Austin (TX),Stray,Normal,Neutered Male,7 years,Labrador Retriever Mix,Black,White,1,31.0
A431615,Catera,2014-05-13 14:00:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Pit Bull Mix,Brown,,1,79.0
A438287,Lila,2018-01-02 13:27:00,Austin (TX),Owner Surrender,Normal,Spayed Female,13 years,Chihuahua Shorthair Mix,Tan,,2,3.0
A441798,Cooper,2014-06-26 12:33:00,Slaughter/ Manchaca in Austin (TX),Stray,Normal,Neutered Male,8 years,German Shepherd Mix,Black,Tan,1,130.0
A442798,Boe,2015-04-10 16:59:00,11160 Jollyville Rd #1008 in Austin (TX),Public Assist,Normal,Spayed Female,9 years,Rat Terrier Mix,White,Tricolor,1,18.0
A443085,Shadow,2014-03-19 10:33:00,S. Congress & Industrial in Austin (TX),Stray,Normal,Intact Male,7 years,Labrador Retriever Mix,Black,,1,124.0
A443790,Kj,2014-09-03 17:00:00,1009 W Dittmar Rd in Austin (TX),Stray,Normal,Neutered Male,9 years,Collie Smooth Mix,Black,Brown,1,10.0
A445694,Vegas,2013-10-09 15:25:00,Austin (TX),Stray,Normal,Spayed Female,9 years,Boxer Mix,White,Brown,1,16.0
A447033,Destin,2015-01-20 14:08:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,German Shepherd Mix,Black,Tan,1,25.0
A448267,Gus,2014-05-16 17:04:00,510 El Paso St in Austin (TX),Stray,Normal,Neutered Male,11 years,Pit Bull Mix,Brown,White,1,54.0
A452508,Oso,2016-01-12 17:34:00,8000 Brown Cemetary Rd in Travis (TX),Stray,Normal,Neutered Male,10 years,Rottweiler,Black,Brown,1,261.0
A453102,Georgia,2016-11-17 12:51:00,Springdale Rd & E 51St St in Austin (TX),Stray,Normal,Spayed Female,10 years,Border Collie Mix,Tricolor,,1,15.0
A453523,Sonny,2016-08-26 18:57:00,S Pleasant Valley Rd & E Stassney Ln in Austin (TX),Stray,Normal,Neutered Male,10 years,Golden Retriever Mix,Tan,Tan,1,8.0
A455868,Booch,2014-05-27 11:10:00,Lago Vista (TX),Owner Surrender,Normal,Spayed Female,8 years,Black/Tan Hound Mix,Black,Brown,1,61.0
A456133,Sunny,2016-01-10 14:40:00,Austin (TX),Stray,Normal,Neutered Male,10 years,Catahoula Mix,Red,White,1,641.0
A457029,Buddy,2014-07-17 11:58:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Basset Hound Mix,Black,Brown,1,18.0
